Scheme_ID,Budget_Crore,Allocated_Funds,Beneficiaries_Lakhs,Corruption_Cases,Fraud_Cases,Income_Criteria
SCM1096,6290,1276,322.35,18,16,Above 5L
SCM1097,13266,37480,332.17,27,2,Below 2L
SCM1098,29789,75864,330.35,6,2,Below 2L
SCM1099,356900,64085,260.35,40,9,2L-5L
SCM1100,31704,37511,305.59,37,19,No Limit
SCM1101,49315,16440,405.27,2,0,Above 5L
SCM1102,4021,4776,392.12,31,14,Above 5L
SCM1103,29091,97984,17.41,45,8,Below 2L
SCM1104,17343,38199,15.32,44,8,2L-5L
SCM1105,43887,33405,419.49,30,6,Above 5L
SCM1106,34415,98016,287.41,44,9,No Limit
SCM1107,32135,17375,478.72,24,12,2L-5L
SCM1108,34944,88885,,32,7,2L-5L
SCM1109,46830,78705,88.45,46,16,Below 2L
SCM1110,16920,21234,236.67,4,0,No Limit
SCM1111,22569,75690,218.33,28,13,Below 2L
SCM1112,46776,12257,1293.2,30,14,Above 5L
SCM1113,36525,76925,403.99,25,13,No Limit
SCM1114,835,51234,327.83,20,7,2L-5L
SCM1115,7314,8757,92.72,33,12,No Limit
SCM1116,24068,13754,367.27,36,4,No Limit
SCM1117,44724,1890,295.99,48,3,Above 5L
SCM1118,36962,46987,289.2,0,15,Below 2L
SCM1119,4828,75708,339.16,3,9,2L-5L
SCM1120,36597,70561,282.03,46,11,No Limit
SCM1121,7341,69328,228.81,46,10,No Limit
SCM1122,17560,48763,320.23,21,10,Above 5L
,10572,47615,361.89,15,13,No Limit
SCM1124,34698,79477,112.96,44,2,2L-5L
SCM1125,42958,40250,248.58,45,,Above 5L
SCM1126,17157,5520,229.14,31,13,Above 5L
SCM1127,49800,42835,,33,13,2L-5L
SCM1128,14532,79175,417.24,20,0,2L-5L
SCM1129,33763,6381,188.75,26,17,2L-5L
SCM1130,19053,76938,36.44,41,1,No Limit
SCM1131,17397,13260,229,36,11,No Limit
SCM1132,40141,89108,80.82,2,13,Below 2L
SCM1133,6796,44503,352.24,42,17,Above 5L
SCM1134,29447,49361,285.93,44,12,Above 5L
SCM1135,21349,39555,135.13,33,12,2L-5L
SCM1136,19757,59487,475.24,6,5,Below 2L
SCM1137,23060,20925,145.94,28,1,Below 2L
SCM1138,47910,66218,277.54,2,0,Above 5L
SCM1139,47768,90515,400.8,44,11,Above 5L
SCM1140,45302,69794,,37,4,Above 5L
SCM1141,18006,39525,480.43,40,10,Above 5L
SCM1142,40345,32385,421.94,1,7,Above 5L
SCM1143,2902,45163,460.52,11,1,Below 2L
SCM1144,35990,19969,186.41,14,5,Above 5L
SCM1145,45650,82982,274.22,15,5,No Limit
SCM1146,35324,43071,420.1,2,14,No Limit
SCM1147,18133,43555,451.76,26,1,No Limit
SCM1148,35188,19433,472.19,45,4,No Limit
SCM1149,43565,16557,439.59,22,6,No Limit
,17627,86684,365.4,32,18,No Limit
SCM1151,12064,26344,12.2,47,4,2L-5L
SCM1152,41105,19644,157.55,26,14,2L-5L
SCM1153,19798,75436,64.56,23,15,Above 5L
SCM1154,4506,71298,77.46,37,2,2L-5L
SCM1155,29102,754,,26,14,Above 5L
SCM1156,28782,29919,37.46,46,7,Below 2L
SCM1157,7691,34923,121.59,30,15,Below 2L
SCM1158,3219,56387,,14,14,Above 5L
SCM1159,21973,20861,,34,10,Below 2L
,36379,6788,79.94,35,16,Below 2L
SCM1161,36696,16755,359.18,23,4,Below 2L
,17049,47595,,16,15,Above 5L
SCM1163,7751,84221,785.45,44,18,Below 2L
SCM1164,26996,8098,139.32,33,8,No Limit
SCM1165,31760,73826,120.96,0,19,Above 5L
,41960,32253,196.69,19,11,No Limit
SCM1167,10470,68016,43.71,5,10,No Limit
SCM1168,44652,78358,334.6,4,1,No Limit
SCM1169,35639,28508,411.13,28,16,Above 5L
SCM1170,6877,77949,331.87,5,0,Above 5L
SCM1171,213,4949,210.66,49,6,Above 5L
SCM1172,631,85940,144.55,32,3,No Limit
SCM1173,9814,96056,204.78,44,3,No Limit
SCM1174,3510,57891,,37,14,Above 5L
SCM1175,9336,96007,333.04,28,3,No Limit
SCM1176,24708,39223,464.04,43,19,Above 5L
SCM1177,8424,15957,35.39,9,2,No Limit
SCM1178,11259,65559,476.68,31,18,No Limit
SCM1179,34594,45044,455.11,24,19,No Limit
SCM1180,41085,48475,58.95,27,14,No Limit
SCM1181,32207,3600,91.87,28,11,No Limit
SCM1182,35516,67088,155.87,34,0,No Limit
SCM1183,31935,8151,279.88,46,4,Above 5L
SCM1184,45700,51936,67.32,31,14,No Limit
SCM1185,9553,20379,100.25,45,5,Above 5L
SCM1186,34933,35308,451.35,35,1,Below 2L
,28021,35716,54.74,6,0,Above 5L
SCM1188,1033,38363,199.5,9,10,Below 2L
SCM1189,31108,56380,381.52,45,14,Above 5L
SCM1190,1150,88711,444.3,33,6,Above 5L
SCM1191,25492,6305,168.09,32,11,Above 5L
SCM1192,32277,78347,82.3,25,0,Below 2L
SCM1193,39984,37789,368.53,47,18,Above 5L
SCM1194,22951,5828,386.3,47,5,No Limit
SCM1195,11206,44506,490.02,12,1,2L-5L
SCM1196,6978,45093,69.86,29,14,Above 5L
SCM1197,892,53633,354.74,31,13,2L-5L
,11467,15768,208.7,32,,2L-5L
SCM1199,38831,6656,457.32,5,2,Below 2L
SCM1200,9647,33616,203.97,35,17,Below 2L
SCM1201,34253,99796,,1,,2L-5L
SCM1202,28668,20936,63.49,6,8,Above 5L
SCM1203,42431,45214,160.54,29,3,No Limit
SCM1204,24407,14457,200.48,45,2,Above 5L
SCM1205,4238,59970,8.85,25,3,Below 2L
SCM1206,47212,35068,218.84,24,12,No Limit
SCM1207,7793,31009,168.23,32,1,2L-5L
SCM1208,11494,96957,401.94,41,9,Above 5L
SCM1209,23976,8006,53.65,5,6,Below 2L
SCM1210,39195,56339,380.13,7,4,2L-5L
SCM1211,3453,41972,357.03,8,19,2L-5L
SCM1212,46232,59523,120.97,10,2,2L-5L
SCM1213,15305,56153,,23,5,2L-5L
SCM1214,4728,34400,420.93,5,3,No Limit
SCM1215,30090,29166,124.79,39,3,2L-5L
SCM1216,38195,82023,72.87,15,11,2L-5L
SCM1217,27723,54163,179.58,16,15,Above 5L
SCM1218,47149,78679,200.5,23,2,No Limit
SCM1219,21533,64876,163.11,6,9,Below 2L
SCM1220,49320,94022,488.24,39,0,No Limit
SCM1221,10158,19522,440.42,39,10,Below 2L
SCM1222,26624,39659,436.5,26,7,No Limit
SCM1223,12193,25080,199.44,9,15,No Limit
SCM1224,16784,95617,481.44,8,12,No Limit
SCM1225,28798,15672,342.04,9,8,Below 2L
SCM1226,48855,64014,416.01,48,0,2L-5L
SCM1227,19084,36952,250.49,29,16,Above 5L
SCM1228,15007,31482,80.39,8,0,Above 5L
SCM1229,13021,88181,443.45,45,15,Below 2L
SCM1230,20502,11805,243.26,25,15,Below 2L
SCM1231,46894,2568,484.28,33,12,No Limit
SCM1232,3182,63588,127.51,34,15,2L-5L
SCM1233,7174,26058,496.19,26,19,Above 5L
SCM1234,29430,31860,111.29,19,6,2L-5L
SCM1235,17723,98288,184.15,23,11,2L-5L
SCM1236,43428,94992,297.05,26,15,Above 5L
SCM1237,559,22822,346.69,40,15,Above 5L
SCM1238,2901,83606,360.17,18,8,No Limit
SCM1239,28931,96534,238.18,17,14,Above 5L
SCM1240,16947,61346,38.51,49,16,Below 2L
SCM1241,1097,83077,248.07,42,4,2L-5L
SCM1242,22125,58429,167.41,40,5,Above 5L
SCM1243,32479,60303,328.86,11,8,Below 2L
SCM1244,6484,44077,91.22,39,3,Above 5L
SCM1245,13323,62783,197.02,17,,2L-5L
SCM1246,48167,97975,483.06,7,5,No Limit
SCM1247,11298,97292,44.52,35,12,Below 2L
SCM1248,34546,96698,301.21,37,10,No Limit
SCM1249,33732,94489,45.42,15,0,No Limit
SCM1250,9482,78535,78.58,12,8,Below 2L
SCM1251,24220,47472,302.51,25,0,No Limit
,35565,52010,222.05,47,1,Above 5L
SCM1253,27050,78218,274.29,25,16,Below 2L
,44975,50925,439.95,20,4,2L-5L
SCM1255,30068,45603,408.64,49,3,Above 5L
SCM1256,3026,91862,444,20,15,No Limit
SCM1257,15835,76201,308.17,7,19,No Limit
SCM1258,14323,55272,244.87,32,10,No Limit
SCM1259,40410,98317,229.65,5,17,Below 2L
,37297,52861,369.93,49,1,Below 2L
SCM1261,15462,14654,260.7,1,15,No Limit
SCM1262,46799,98373,52.97,7,5,Above 5L
SCM1263,40086,64183,71.06,5,7,No Limit
SCM1264,23509,61496,178.61,5,19,2L-5L
,2497,43645,34,21,18,Below 2L
SCM1266,14551,47494,119.69,24,14,2L-5L
SCM1267,5914,57061,328.23,45,13,Below 2L
SCM1268,22988,89663,6.31,30,0,Below 2L
SCM1269,7622,79022,302.09,34,5,Above 5L
SCM1270,22269,59915,386.2,49,17,No Limit
,20482,76099,85.16,4,0,Below 2L
SCM1272,15688,50748,90.57,21,17,2L-5L
SCM1273,45227,75584,14.53,47,15,Below 2L
SCM1274,15862,33392,256.27,24,18,Above 5L
SCM1275,15677,93593,327.33,17,17,Below 2L
SCM1276,21031,14280,228.51,8,11,Below 2L
SCM1277,10070,84780,194.79,24,2,No Limit
SCM1278,39378,38180,227.26,28,3,No Limit
SCM1279,20145,73839,390.79,32,4,Below 2L
SCM1280,47873,41081,16.85,42,7,Above 5L
,16019,44074,391.93,7,5,No Limit
SCM1282,44429,29173,,39,15,2L-5L
SCM1283,27771,69881,120.79,12,15,Above 5L
SCM1284,10449,42692,262.42,7,16,2L-5L
SCM1285,49303,95985,24.74,47,11,2L-5L
SCM1286,6158,7910,189.86,49,13,No Limit
SCM1287,44421,17937,,40,13,2L-5L
SCM1288,3615,81253,11.25,43,5,Below 2L
SCM1289,3430,5930,178.61,26,17,Above 5L
SCM1290,34542,98814,363.08,2,10,Below 2L
SCM1291,43925,76694,460.52,32,11,No Limit
SCM1292,17845,37222,331.17,30,0,Above 5L
SCM1293,9078,50764,201.04,27,14,2L-5L
SCM1294,17039,16736,499.75,20,3,No Limit
SCM1295,15364,83067,141.54,28,2,Below 2L
SCM1296,26715,53735,93.65,Unknown,7,Above 5L
SCM1297,32265,15986,231.89,8,3,Below 2L
SCM1298,47462,65291,,21,6,No Limit
SCM1299,42822,79491,177.48,7,2,Above 5L
SCM1300,34980,72865,347.78,44,6,Above 5L
SCM1301,18694,75159,92.01,16,1,No Limit
SCM1302,15623,8829,255.22,22,12,Above 5L
SCM1303,1801,16309,250.11,38,14,2L-5L
SCM1304,328580,1358,411.91,29,3,Above 5L
SCM1305,35580,62910,463.49,14,3,Above 5L
SCM1306,27083,24688,331.67,13,13,Above 5L
SCM1307,35184,41148,152.76,24,5,Above 5L
SCM1308,47527,6397,344.84,15,17,Above 5L
SCM1309,39337,25790,125.76,48,,Above 5L
SCM1310,34478,7605,483.28,47,,Below 2L
SCM1311,20836,50878,411.2,17,6,2L-5L
SCM1312,6443,69721,215.65,31,12,2L-5L
SCM1313,15897,85944,392.19,45,19,Below 2L
SCM1314,42187,22305,204.39,37,15,Above 5L
SCM1315,21975,78552,37.4,14,8,Below 2L
SCM1316,41964,5749,353.41,36,12,Above 5L
SCM1317,41223,76634,202.37,48,1,No Limit
SCM1318,9428,49531,465.17,32,3,2L-5L
SCM1319,37578,96094,153.35,12,18,Below 2L
SCM1320,2125,87887,421.68,6,9,No Limit
SCM1321,205,12520,340.25,18,0,2L-5L
SCM1322,29470,62991,426.68,20,3,No Limit
SCM1323,20943,27112,146.01,36,15,Below 2L
SCM1324,19576,23536,230.73,8,6,Above 5L
SCM1325,43081,6187,411.58,3,4,No Limit
SCM1326,42212,20004,321.95,30,12,No Limit
,48710,2032,180.02,6,15,Above 5L
SCM1328,798,76088,256.05,12,5,Above 5L
SCM1329,28543,52049,498.05,39,18,No Limit
SCM1330,44330,61006,370.95,35,17,No Limit
SCM1331,41806,57486,307.3,7,10,Above 5L
SCM1332,38939,61838,413.97,25,14,No Limit
SCM1333,22223,4351,,26,8,2L-5L
SCM1334,42020,11762,475.04,47,18,Above 5L
SCM1335,19975,5287,276.06,25,11,Below 2L
SCM1336,3397,4330,,44,13,Above 5L
SCM1337,308,83749,43.1,41,16,Above 5L
SCM1338,19800,24983,,13,,Above 5L
SCM1339,21891,43885,284.36,19,2,Above 5L
SCM1340,7333,75176,351.65,41,16,No Limit
,1991,40196,437.57,44,14,No Limit
SCM1342,47694,15207,471.99,27,13,2L-5L
SCM1343,36374,72745,51.32,7,2,2L-5L
SCM1344,2139,78639,300.49,4,3,Below 2L
SCM1345,19773,82474,333.33,12,14,Below 2L
SCM1346,42512,17247,86.11,1,16,No Limit
SCM1347,39513,11744,272.85,47,12,Below 2L
SCM1348,28536,52657,167.48,13,,Above 5L
SCM1349,34485,17838,38.8,48,16,No Limit
SCM1350,8286,17785,33.03,2,16,2L-5L
SCM1351,534,99438,,15,5,Above 5L
SCM1352,10619,83808,307.77,8,4,2L-5L
SCM1353,18130,9071,357.59,38,7,2L-5L
SCM1354,11455,49742,342.67,1,3,Below 2L
SCM1355,14428,53815,67.24,10,19,Above 5L
SCM1356,5358,73795,75.87,23,2,Above 5L
,45822,65802,126.32,42,5,No Limit
SCM1358,7290,46944,199.61,28,19,2L-5L
SCM1359,22579,36592,469.59,13,2,No Limit
SCM1360,20927,87216,336.98,47,18,Below 2L
SCM1361,48464,42821,127.66,39,7,Below 2L
SCM1362,45338,47341,28.09,21,3,Above 5L
SCM1363,10847,3374,,46,0,Above 5L
SCM1364,31017,62797,312.7,47,17,2L-5L
SCM1365,30477,78851,337.91,33,9,Above 5L
SCM1366,45056,69271,130.66,35,2,2L-5L
SCM1367,40581,45574,,32,11,No Limit
SCM1368,33248,40150,180.92,38,11,2L-5L
SCM1369,41884,9704,408.87,42,4,2L-5L
SCM1370,23657,17944,34.79,17,,2L-5L
SCM1371,44435,32428,137.79,21,11,Above 5L
SCM1372,34505,14088,,24,12,2L-5L
SCM1373,12579,55752,,36,2,No Limit
SCM1374,24027,65920,336.39,4,17,No Limit
SCM1375,33392,39156,68.47,31,7,Above 5L
SCM1376,19591,53526,11.5,48,6,Above 5L
SCM1377,1193,5859,431.76,35,14,2L-5L
SCM1378,31108,54868,166.79,8,16,No Limit
SCM1379,204,71589,78.51,13,0,2L-5L
SCM1380,18223,77480,86.44,31,15,Below 2L
SCM1381,27036,65148,442.96,8,13,Above 5L
SCM1382,18160,68690,327.25,22,9,Above 5L
SCM1383,24388,91721,478.18,44,19,Below 2L
,43414,12906,400.04,47,3,2L-5L
SCM1385,24511,89644,383.79,44,3,2L-5L
SCM1386,37784,98339,249.96,8,5,Below 2L
SCM1387,45191,61742,410.42,20,14,Below 2L
SCM1388,13436,64334,206.39,43,4,Above 5L
SCM1389,38024,30282,,31,14,Below 2L
SCM1390,11726,80465,378.89,43,18,No Limit
SCM1391,3601,49545,339.25,9,19,Below 2L
SCM1392,16950,6024,164.93,28,18,Below 2L
SCM1393,35812,3970,315.39,33,2,2L-5L
SCM1394,20778,91556,253.44,21,1,Below 2L
SCM1395,16005,22765,230.83,4,0,2L-5L
SCM1396,1691,67677,495.12,10,2,2L-5L
SCM1397,13622,98154,252.25,27,18,No Limit
SCM1398,16253,89765,16.09,23,0,2L-5L
SCM1399,36940,70684,313.27,33,15,Below 2L
SCM1400,3672,91719,364.03,41,0,2L-5L
SCM1401,38846,66313,442.6,39,,Above 5L
SCM1402,33161,93166,316.38,9,,Above 5L
SCM1403,25597,43882,9.83,25,18,Above 5L
SCM1404,22342,80719,59.96,42,8,2L-5L
SCM1405,1438,23276,80.7,40,,Above 5L
SCM1406,16251,1102,105.71,6,12,Below 2L
SCM1407,27090,7104,399.91,43,10,2L-5L
SCM1408,15480,8425,774.75,6,2,Below 2L
SCM1409,31135,1457,156.25,47,16,Above 5L
SCM1410,45913,95425,377.82,47,4,2L-5L
SCM1411,26217,10886,206.28,14,13,No Limit
SCM1412,2598,65244,32.41,45,1,No Limit
SCM1413,47981,60446,292.6,44,1,Above 5L
SCM1414,25583,6964,65.12,2,12,No Limit
SCM1415,5828,35963,,44,9,No Limit
SCM1416,18977,55772,389.84,25,5,Below 2L
SCM1417,26803,35343,464.75,6,2,No Limit
SCM1418,3188,27679,,1,11,2L-5L
SCM1419,39149,12382,152.05,9,18,No Limit
SCM1420,23279,74226,326.27,29,4,Above 5L
SCM1421,48054,5003,157.79,46,1,No Limit
SCM1422,22111,16052,225.57,2,18,Above 5L
,12939,46943,10.14,37,9,Below 2L
SCM1424,23725,31712,346.78,28,10,No Limit
SCM1425,18581,85107,441.65,24,0,Above 5L
SCM1426,31853,76277,488.43,45,0,Above 5L
SCM1427,19658,78786,415.28,3,8,No Limit
SCM1428,16871,50800,15.98,46,2,Below 2L
SCM1429,31204,61104,325.96,4,18,No Limit
SCM1430,33166,74013,247.88,5,13,Above 5L
SCM1431,44520,29175,468.95,18,14,No Limit
,4161,63283,451.08,17,2,Below 2L
SCM1433,33341,15002,494.02,37,10,Below 2L
SCM1434,16261,5314,430.98,35,6,Below 2L
SCM1435,5157,42861,273.49,11,9,Above 5L
SCM1436,45947,83807,357.48,23,12,2L-5L
SCM1437,44273,70549,482.34,29,0,No Limit
SCM1438,49036,47246,289.1,13,14,Above 5L
SCM1439,5389,89061,420.01,38,17,Above 5L
SCM1440,41508,42598,2355.55,1,6,Below 2L
SCM1441,2321,2130,285.31,33,16,2L-5L
SCM1442,43042,52733,79.66,19,0,No Limit
SCM1443,21735,72384,,35,14,Above 5L
SCM1444,19126,710,57.75,22,5,Above 5L
SCM1445,7175,79199,238.21,34,,Above 5L
SCM1446,22478,48408,240.12,33,17,No Limit
SCM1447,35184,65526,308.72,20,11,2L-5L
SCM1448,13781,21348,241.49,37,8,Above 5L
SCM1449,47821,92418,486.53,45,6,2L-5L
SCM1450,31684,97457,145.73,7,15,2L-5L
SCM1451,31345,12924,436.92,42,15,Above 5L
SCM1452,5083,14184,50.26,29,2,No Limit
SCM1453,32349,40502,301,46,14,Above 5L
SCM1454,31491,7671,324.2,19,3,No Limit
SCM1455,30997,32272,386.14,19,10,2L-5L
SCM1456,40702,96786,251.56,22,1,No Limit
SCM1457,20102,93103,98.69,19,12,Below 2L
SCM1458,10598,68105,184.56,45,13,Above 5L
SCM1459,49511,86341,136.15,22,12,No Limit
SCM1460,3306,41631,209.61,3,0,2L-5L
SCM1461,48688,44143,265.03,9,19,Above 5L
SCM1462,42572,97686,312.57,39,1,Below 2L
SCM1463,13030,86911,422.58,4,9,Above 5L
SCM1464,10420,63497,455.01,31,14,Below 2L
SCM1465,28114,55276,231.34,17,9,No Limit
SCM1466,38046,3932,44.43,24,6,Above 5L
SCM1467,31917,51315,,16,,No Limit
SCM1468,38226,87373,238.63,4,8,No Limit
SCM1469,26852,10899,273.27,34,,Below 2L
SCM1470,4607,40956,297.94,41,8,No Limit
SCM1471,24025,79539,333.97,20,3,Below 2L
SCM1472,36376,28078,445.06,35,16,2L-5L
SCM1473,23789,28861,476.08,18,7,2L-5L
,45770,32179,470.09,22,2,2L-5L
SCM1475,15338,18262,404.75,4,16,Below 2L
SCM1476,24907,78499,444.63,32,18,Below 2L
SCM1477,39622,42280,24.92,3,1,2L-5L
SCM1478,9021,48787,424.57,32,9,Above 5L
SCM1479,11304,26537,36.23,46,6,2L-5L
SCM1480,38384,90972,373.12,34,11,Below 2L
SCM1481,38667,10396,84.76,41,8,Above 5L
SCM1482,35797,79158,180.12,25,10,No Limit
SCM1483,46753,98544,92.17,36,12,Below 2L
SCM1484,24993,45482,221.79,21,1,No Limit
SCM1485,1630,58449,205.93,10,10,Above 5L
SCM1486,31341,53468,24.13,48,7,Above 5L
SCM1487,24397,56982,415.27,25,2,Above 5L
,9402,56621,427.11,40,4,Below 2L
SCM1489,49006,14264,393.77,12,8,Below 2L
SCM1490,815,55924,423.82,13,,No Limit
SCM1491,9633,35836,375.46,40,16,Below 2L
SCM1492,40395,7021,468.75,48,1,Above 5L
SCM1493,7323,87863,288.24,6,16,2L-5L
SCM1494,13521,82849,291.36,15,1,Above 5L
SCM1495,27796,86091,429.97,19,5,2L-5L
SCM1496,14166,57240,174.77,44,16,Below 2L
SCM1497,44147,82783,25.14,45,,2L-5L
SCM1498,21676,49600,374.95,49,0,No Limit
SCM1499,16685,51334,127.37,42,5,Below 2L
SCM1500,2240,98884,237.17,26,9,Below 2L
SCM1501,42116,34714,,33,,2L-5L
SCM1502,36539,75499,2067.8,21,11,Above 5L
SCM1503,41478,81748,479.15,37,16,No Limit
SCM1504,7470,64976,27.61,36,0,Below 2L
SCM1505,29616,37819,116.76,2,6,Below 2L
SCM1506,12122,18568,94.86,26,10,2L-5L
SCM1507,184280,83497,336.63,6,15,Above 5L
SCM1508,3029,10353,214.4,34,16,2L-5L
SCM1509,43827,41972,228.19,44,13,No Limit
SCM1510,3483,68115,78.62,22,13,No Limit
SCM1511,49645,51099,207.43,1,5,2L-5L
SCM1512,27532,98599,151.68,23,1,No Limit
SCM1513,11211,52878,305.63,1,11,Above 5L
SCM1514,48438,79727,108.7,49,15,Below 2L
SCM1515,39878,19632,307.44,35,17,Below 2L
SCM1516,31999,60648,188.93,16,5,No Limit
SCM1517,23261,82865,173.21,10,13,Above 5L
,8923,8433,152.85,6,13,2L-5L
SCM1519,27532,31348,336.95,1,6,Below 2L
SCM1520,33189,39645,281.25,14,8,Below 2L
SCM1521,21153,85402,425.88,45,12,2L-5L
SCM1522,17547,8206,120.88,30,7,Below 2L
SCM1523,24405,74790,20.16,45,18,2L-5L
SCM1524,3211,39518,91.09,5,12,Above 5L
SCM1525,27593,60871,171.74,36,4,Above 5L
,11085,53661,89.91,45,13,Above 5L
SCM1527,3186,19634,41.85,28,18,Above 5L
SCM1528,46303,54859,222.72,3,6,No Limit
SCM1529,45030,69498,338.5,45,0,Below 2L
SCM1530,23564,58537,375.81,36,16,2L-5L
SCM1531,42018,73966,199.42,11,10,Above 5L
SCM1532,37011,55764,,26,9,Above 5L
SCM1533,6432,78638,,24,13,Below 2L
SCM1534,39315,32183,176.42,44,10,Below 2L
SCM1535,42642,59323,392.4,11,14,No Limit
SCM1536,40731,14901,483.69,16,8,No Limit
SCM1537,3276,68445,440.25,49,6,No Limit
SCM1538,2516,83856,226.85,11,6,Above 5L
SCM1539,40536,46126,289.8,30,10,2L-5L
SCM1540,8751,25237,358.24,8,8,No Limit
SCM1541,10586,59304,174.72,18,0,No Limit
SCM1542,18795,14916,399.64,28,13,Above 5L
SCM1543,1329,68251,218.51,24,4,Above 5L
SCM1544,1630,52909,423.44,14,17,Below 2L
SCM1545,45685,73799,127.44,8,9,2L-5L
SCM1546,42447,23696,5.79,12,18,2L-5L
SCM1547,35665,78137,316.38,46,10,2L-5L
SCM1548,1463,38643,226,43,17,2L-5L
