Scheme_ID,Scheme_Name,Launch_Year,Sector,State_Coverage,Status,Scheme_Reach,Enrollment_Deadline
SCM1085,Digital India,2012,Entrepreneurship,Tamil Nadu,Active,Pan-India,30:21.0
SCM1086,Swachh Bharat Abhiyan,2024,,Rajasthan,Revamped,Local,30:21.1
SCM1087,Beti Bachao Beti Padhao,2004,Education,Madhya Pradesh,Revamped,State-level,30:21.1
SCM1088,Ujjwala Yojana,2013,Manufacturing,Madhya Pradesh,Active,State-level,30:21.0
SCM1089,Mahatma Gandhi National Rural Employment Guarantee Act,2017,Manufacturing,Tamil Nadu,Revamped,Pan-India,30:21.0
SCM1090,Pradhan Mantri Awas Yojana,2005,Manufacturing,Bihar,Active,Local,30:21.1
SCM1091,AMRUT,2005,Education,Madhya Pradesh,Merged,State-level,30:21.1
SCM1092,Make in India,1995,,West Bengal,Revamped,Local,30:21.0
SCM1093,Ayushman Bharat,1991,Manufacturing,Karnataka,Merged,Pan-India,30:21.0
SCM1094,Ujjwala Yojana,2002,Education,Uttar Pradesh,Active,Local,30:21.1
SCM1095,Beti Bachao Beti Padhao,1998,Employment,Bihar,Revamped,State-level,30:21.1
SCM1096,Ayushman Bharat,2023,Entrepreneurship,Maharashtra,Active,Pan-India,30:21.1
SCM1097,Pradhan Mantri Awas Yojana,2006,Housing,Rajasthan,Inactive,Local,30:21.1
SCM1098,Ayushman Bharat,2016,Technology,Rajasthan,Merged,State-level,30:21.1
SCM1099,Make in India,2018,Entrepreneurship,Maharashtra,Inactive,Pan-India,30:21.1
SCM1100,Stand Up India,2011,Manufacturing,Rajasthan,Merged,Pan-India,30:21.0
SCM1101,PM Kisan Samman Nidhi,2013,Entrepreneurship,Maharashtra,Active,Pan-India,30:21.1
SCM1102,Ayushman Bharat,1996,Manufacturing,Uttar Pradesh,Revamped,Local,30:21.1
SCM1103,Pradhan Mantri Awas Yojana,2023,Entrepreneurship,Bihar,Inactive,Local,30:21.0
SCM1104,Make in India,2001,Health,Madhya Pradesh,Revamped,State-level,30:21.1
SCM1105,PM Kisan Samman Nidhi,2012,Women Empowerment,Bihar,Revamped,Local,30:21.0
SCM1106,Digital India,2004,Entrepreneurship,Bihar,Inactive,Local,30:21.1
SCM1107,Swachh Bharat Abhiyan,2022,Women Empowerment,Tamil Nadu,Inactive,Pan-India,30:21.0
SCM1108,Stand Up India,2002,Housing,West Bengal,Revamped,Local,30:21.1
SCM1109,Stand Up India,2012,Housing,Telangana,Active,Pan-India,30:21.1
SCM1110,Jan Dhan Yojana,2021,Technology,Rajasthan,Inactive,Pan-India,30:21.0
SCM1111,Saubhagya Yojana,2024,Entrepreneurship,Gujarat,Active,State-level,30:21.1
SCM1112,Digital India,1990,Education,Bihar,Active,State-level,30:21.1
SCM1113,National Health Mission,1994,Women Empowerment,Uttar Pradesh,Inactive,Local,30:21.0
SCM1114,Startup India,2002,Education,Madhya Pradesh,Active,State-level,30:21.1
SCM1115,Make in India,1994,Education,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM1116,Digital India,2021,Entrepreneurship,Uttar Pradesh,Active,Pan-India,30:21.1
SCM1117,Saubhagya Yojana,2010,Education,Karnataka,Active,State-level,30:21.1
SCM1118,Stand Up India,2013,Employment,Tamil Nadu,Active,Local,30:21.0
SCM1119,Smart Cities Mission,2007,Entrepreneurship,Gujarat,Revamped,Pan-India,30:21.1
SCM1120,Startup India,2010,Housing,Gujarat,Active,Pan-India,30:21.0
SCM1121,Saubhagya Yojana,1999,Women Empowerment,Uttar Pradesh,Active,Pan-India,30:21.0
SCM1122,Digital India,2013,Technology,Gujarat,Active,Local,Open
,Mahatma Gandhi National Rural Employment Guarantee Act,2010,Education,Madhya Pradesh,Active,Pan-India,30:21.1
SCM1124,Jan Dhan Yojana,2014,Health,West Bengal,Revamped,State-level,30:21.1
SCM1125,Saubhagya Yojana,2012,Education,Maharashtra,Revamped,Local,30:21.0
SCM1126,Skill India,2011,Housing,Madhya Pradesh,Revamped,Pan-India,30:21.0
SCM1127,Ujjwala Yojana,1993,Employment,Gujarat,Inactive,State-level,Open
SCM1128,Ujjwala Yojana,2023,Entrepreneurship,Uttar Pradesh,Inactive,State-level,30:21.0
SCM1129,Smart Cities Mission,1995,Education,Rajasthan,Revamped,State-level,30:21.0
SCM1130,Digital India,2017,Health,Madhya Pradesh,Inactive,Local,30:21.0
SCM1131,Pradhan Mantri Awas Yojana,2020,Women Empowerment,Uttar Pradesh,Revamped,Local,30:21.1
SCM1132,Pradhan Mantri Awas Yojana,2024,Technology,Maharashtra,Active,Local,30:21.1
SCM1133,Saubhagya Yojana,2012,Housing,Gujarat,Revamped,Pan-India,30:21.1
SCM1134,Swachh Bharat Abhiyan,1995,Technology,Gujarat,Revamped,Pan-India,30:21.1
SCM1135,Ayushman Bharat,2005,Technology,Madhya Pradesh,Inactive,Local,30:21.0
SCM1136,Digital India,1991,Health,Rajasthan,Revamped,Pan-India,30:21.1
SCM1137,Skill India,2013,,Madhya Pradesh,Merged,State-level,30:21.0
SCM1138,Beti Bachao Beti Padhao,2006,Manufacturing,Telangana,Active,State-level,30:21.1
SCM1139,Swachh Bharat Abhiyan,1990,Housing,Telangana,Revamped,Local,30:21.1
SCM1140,Make in India,1995,Manufacturing,West Bengal,Revamped,Pan-India,30:21.1
SCM1141,Pradhan Mantri Awas Yojana,1994,Health,Uttar Pradesh,Revamped,Pan-India,30:21.1
SCM1142,Jan Dhan Yojana,2018,Entrepreneurship,West Bengal,Revamped,Pan-India,30:21.0
SCM1143,Ujjwala Yojana,2001,Entrepreneurship,Uttar Pradesh,Inactive,Local,30:21.1
SCM1144,Stand Up India,1992,Entrepreneurship,Bihar,Inactive,State-level,30:21.0
SCM1145,Swachh Bharat Abhiyan,1990,Technology,West Bengal,Merged,State-level,30:21.0
SCM1146,National Health Mission,2016,Manufacturing,Maharashtra,Inactive,Pan-India,Open
SCM1147,National Health Mission,2013,Technology,Bihar,Merged,Pan-India,30:21.0
SCM1148,Ujjwala Yojana,2008,Entrepreneurship,Telangana,Merged,Local,30:21.1
SCM1149,Digital India,1997,Technology,West Bengal,Revamped,Pan-India,30:21.1
,Mahatma Gandhi National Rural Employment Guarantee Act,1991,Employment,Maharashtra,Merged,Pan-India,30:21.1
SCM1151,Ayushman Bharat,2019,Housing,Bihar,Active,Local,30:21.1
SCM1152,National Health Mission,2019,Housing,Bihar,Inactive,Pan-India,30:21.0
SCM1153,Make in India,2021,Women Empowerment,Telangana,Merged,Pan-India,30:21.1
SCM1154,National Health Mission,1990,Technology,Telangana,Active,Local,30:21.1
SCM1155,National Health Mission,2002,Women Empowerment,Bihar,Inactive,State-level,30:21.1
SCM1156,National Health Mission,2000,Health,Gujarat,Active,Local,30:21.1
SCM1157,Mahatma Gandhi National Rural Employment Guarantee Act,1999,Education,Telangana,Revamped,State-level,30:21.0
SCM1158,Mahatma Gandhi National Rural Employment Guarantee Act,2015,Manufacturing,Telangana,Revamped,Local,30:21.1
SCM1159,Make in India,2009,Housing,Uttar Pradesh,Inactive,Pan-India,30:21.0
,Pradhan Mantri Awas Yojana,2006,Technology,Rajasthan,Merged,State-level,30:21.1
SCM1161,Pradhan Mantri Awas Yojana,2006,Manufacturing,Uttar Pradesh,Active,Local,30:21.1
,Mahatma Gandhi National Rural Employment Guarantee Act,1993,Health,Tamil Nadu,Revamped,Local,30:21.0
SCM1163,Ujjwala Yojana,1994,Entrepreneurship,Tamil Nadu,Merged,Local,30:21.0
SCM1164,Skill India,2012,Education,Telangana,Revamped,Pan-India,30:21.1
SCM1165,Startup India,1999,Health,Rajasthan,Revamped,Pan-India,30:21.0
,Smart Cities Mission,2017,Employment,Gujarat,Merged,Local,30:21.0
SCM1167,National Health Mission,2022,Entrepreneurship,Telangana,Inactive,State-level,30:21.0
SCM1168,Skill India,2015,Entrepreneurship,Rajasthan,Merged,Local,30:21.1
SCM1169,Make in India,2018,Entrepreneurship,Gujarat,Active,State-level,30:21.0
SCM1170,Mahatma Gandhi National Rural Employment Guarantee Act,2016,Health,Maharashtra,Inactive,Local,30:21.0
SCM1171,Skill India,2007,Employment,Tamil Nadu,Active,Pan-India,30:21.1
SCM1172,Smart Cities Mission,1999,Education,Karnataka,Inactive,State-level,30:21.0
SCM1173,AMRUT,1994,Manufacturing,Rajasthan,Revamped,Pan-India,30:21.0
SCM1174,AMRUT,1999,Health,Rajasthan,Merged,Local,Open
SCM1175,Pradhan Mantri Awas Yojana,2010,Housing,Tamil Nadu,Active,Pan-India,30:21.1
SCM1176,Swachh Bharat Abhiyan,2013,Housing,Rajasthan,Inactive,Local,30:21.1
SCM1177,Skill India,1992,Health,Tamil Nadu,Revamped,Pan-India,30:21.1
SCM1178,AMRUT,2020,Manufacturing,Bihar,Revamped,Pan-India,30:21.1
SCM1179,Ayushman Bharat,1991,Housing,Karnataka,Merged,Pan-India,30:21.0
SCM1180,Startup India,1991,Manufacturing,Telangana,Merged,State-level,30:21.1
SCM1181,Ayushman Bharat,2023,Entrepreneurship,Uttar Pradesh,Active,Local,30:21.0
SCM1182,Digital India,2009,Health,West Bengal,Inactive,Local,30:21.0
SCM1183,Swachh Bharat Abhiyan,2022,Entrepreneurship,Bihar,Revamped,State-level,30:21.1
SCM1184,Pradhan Mantri Awas Yojana,1993,Housing,Karnataka,Active,State-level,30:21.1
SCM1185,Beti Bachao Beti Padhao,2000,Manufacturing,Maharashtra,Active,State-level,30:21.1
SCM1186,Digital India,1994,Entrepreneurship,Bihar,Revamped,Local,30:21.0
,Sarva Shiksha Abhiyan,2014,Housing,West Bengal,Inactive,State-level,30:21.1
SCM1188,Beti Bachao Beti Padhao,2023,Technology,Uttar Pradesh,Active,State-level,30:21.0
SCM1189,Pradhan Mantri Awas Yojana,1998,Employment,Gujarat,Merged,State-level,30:21.0
SCM1190,Smart Cities Mission,1995,Entrepreneurship,Karnataka,Revamped,Pan-India,30:21.1
SCM1191,Sarva Shiksha Abhiyan,2007,Employment,Bihar,Revamped,Local,30:21.0
SCM1192,Jan Dhan Yojana,2003,Employment,Karnataka,Revamped,Local,30:21.0
SCM1193,Ayushman Bharat,2008,Education,Uttar Pradesh,Inactive,Pan-India,30:21.0
SCM1194,Digital India,2003,Women Empowerment,Karnataka,Inactive,Local,30:21.0
SCM1195,AMRUT,2006,Housing,Gujarat,Active,Pan-India,30:21.1
SCM1196,AMRUT,2024,Health,Karnataka,Active,Pan-India,30:21.1
SCM1197,National Health Mission,2018,Manufacturing,Bihar,Revamped,State-level,30:21.0
,Mahatma Gandhi National Rural Employment Guarantee Act,2006,Technology,Bihar,Active,State-level,30:21.1
SCM1199,Pradhan Mantri Awas Yojana,1997,Housing,Bihar,Revamped,State-level,30:21.1
SCM1200,AMRUT,1990,Education,Uttar Pradesh,Merged,Local,30:21.1
SCM1201,Ujjwala Yojana,1996,Education,Rajasthan,Active,Pan-India,30:21.0
SCM1202,Make in India,1994,Technology,Uttar Pradesh,Inactive,Pan-India,30:21.0
SCM1203,Make in India,2013,Entrepreneurship,Maharashtra,Inactive,Pan-India,30:21.0
SCM1204,Swachh Bharat Abhiyan,2017,Manufacturing,West Bengal,Revamped,Local,30:21.0
SCM1205,Swachh Bharat Abhiyan,2006,Education,Madhya Pradesh,Merged,State-level,30:21.0
SCM1206,Ayushman Bharat,2009,Health,Karnataka,Active,Pan-India,30:21.1
SCM1207,AMRUT,1992,Housing,Rajasthan,Active,State-level,30:21.1
SCM1208,AMRUT,2015,Health,Gujarat,Merged,Pan-India,30:21.1
SCM1209,Ayushman Bharat,2004,Entrepreneurship,Maharashtra,Merged,Local,30:21.0
SCM1210,Pradhan Mantri Awas Yojana,1997,Women Empowerment,Rajasthan,Active,Pan-India,30:21.1
SCM1211,Smart Cities Mission,2002,Housing,Karnataka,Revamped,Pan-India,30:21.1
SCM1212,National Health Mission,1992,Entrepreneurship,Tamil Nadu,Active,State-level,30:21.0
SCM1213,Beti Bachao Beti Padhao,1990,Manufacturing,Telangana,Merged,Pan-India,30:21.1
SCM1214,Startup India,1998,Manufacturing,Uttar Pradesh,Inactive,Pan-India,30:21.1
SCM1215,Skill India,2020,Women Empowerment,Maharashtra,Active,Pan-India,30:21.0
SCM1216,Beti Bachao Beti Padhao,2015,Health,West Bengal,Merged,State-level,30:21.1
SCM1217,Ayushman Bharat,2006,Health,Gujarat,Inactive,Pan-India,30:21.0
SCM1218,AMRUT,2023,Manufacturing,Uttar Pradesh,Active,Pan-India,30:21.1
SCM1219,Ayushman Bharat,1998,Employment,Telangana,Revamped,State-level,30:21.1
SCM1220,Sarva Shiksha Abhiyan,2002,Manufacturing,Gujarat,Revamped,State-level,30:21.1
SCM1221,PM Kisan Samman Nidhi,1994,Technology,Gujarat,Active,State-level,30:21.0
SCM1222,Sarva Shiksha Abhiyan,2002,Housing,Madhya Pradesh,Active,Local,30:21.1
SCM1223,Mahatma Gandhi National Rural Employment Guarantee Act,1990,Technology,Madhya Pradesh,Inactive,Local,30:21.1
SCM1224,Ayushman Bharat,2014,Entrepreneurship,Gujarat,Revamped,State-level,30:21.1
SCM1225,AMRUT,1993,Manufacturing,Rajasthan,Merged,State-level,30:21.1
SCM1226,Swachh Bharat Abhiyan,1999,Manufacturing,Tamil Nadu,Active,Local,30:21.1
SCM1227,Startup India,2017,Women Empowerment,West Bengal,Revamped,Pan-India,30:21.1
SCM1228,Pradhan Mantri Awas Yojana,1995,Women Empowerment,Gujarat,Revamped,Local,30:21.0
SCM1229,Startup India,2016,Education,Gujarat,Active,State-level,30:21.1
SCM1230,Pradhan Mantri Awas Yojana,2001,Entrepreneurship,Karnataka,Active,State-level,30:21.0
SCM1231,PM Kisan Samman Nidhi,1992,Education,Bihar,Merged,Pan-India,30:21.1
SCM1232,AMRUT,2022,Entrepreneurship,Tamil Nadu,Active,Local,30:21.0
SCM1233,Beti Bachao Beti Padhao,1999,Technology,Madhya Pradesh,Merged,State-level,30:21.1
SCM1234,Digital India,2020,Housing,Tamil Nadu,Active,Local,30:21.0
SCM1235,Ayushman Bharat,2004,Entrepreneurship,Gujarat,Inactive,Pan-India,30:21.0
SCM1236,National Health Mission,1996,Health,Maharashtra,Active,Pan-India,30:21.0
SCM1237,Pradhan Mantri Awas Yojana,2003,Women Empowerment,Uttar Pradesh,Inactive,Pan-India,30:21.0
SCM1238,AMRUT,2003,Manufacturing,Gujarat,Active,Local,30:21.0
SCM1239,Ujjwala Yojana,1992,Women Empowerment,Karnataka,Revamped,State-level,30:21.1
SCM1240,PM Kisan Samman Nidhi,1992,Entrepreneurship,Rajasthan,Active,State-level,Open
SCM1241,Skill India,2011,Housing,Maharashtra,Inactive,Pan-India,30:21.1
SCM1242,Skill India,2008,Entrepreneurship,Karnataka,Active,Pan-India,30:21.1
SCM1243,Saubhagya Yojana,2024,Manufacturing,Karnataka,Active,State-level,30:21.1
SCM1244,Beti Bachao Beti Padhao,2001,Employment,Maharashtra,Revamped,State-level,30:21.0
SCM1245,Mahatma Gandhi National Rural Employment Guarantee Act,1994,Entrepreneurship,Tamil Nadu,Revamped,Local,30:21.0
SCM1246,Pradhan Mantri Awas Yojana,1999,Health,Madhya Pradesh,Inactive,Pan-India,Open
SCM1247,Stand Up India,2022,Women Empowerment,Rajasthan,Active,Local,30:21.0
SCM1248,Pradhan Mantri Awas Yojana,2002,Manufacturing,Rajasthan,Active,State-level,30:21.1
SCM1249,Make in India,2024,Housing,West Bengal,Revamped,Pan-India,30:21.0
SCM1250,AMRUT,2021,Technology,Tamil Nadu,Inactive,State-level,30:21.0
SCM1251,Startup India,2000,Technology,Telangana,Active,State-level,30:21.1
,Ayushman Bharat,2013,Manufacturing,Gujarat,Inactive,State-level,30:21.1
SCM1253,National Health Mission,2024,Education,Uttar Pradesh,Inactive,Pan-India,Open
,National Health Mission,2008,Employment,Maharashtra,Inactive,Local,30:21.1
SCM1255,Ujjwala Yojana,1995,Housing,Rajasthan,Revamped,State-level,30:21.0
SCM1256,PM Kisan Samman Nidhi,2024,Employment,Tamil Nadu,Merged,Pan-India,30:21.1
SCM1257,Skill India,1993,Technology,Rajasthan,Revamped,State-level,Open
SCM1258,Ayushman Bharat,2022,Employment,Gujarat,Active,State-level,30:21.1
SCM1259,Swachh Bharat Abhiyan,2002,Health,Bihar,Inactive,Local,30:21.0
,Make in India,2008,Women Empowerment,Telangana,Inactive,Local,Open
SCM1261,National Health Mission,2001,Technology,Gujarat,Inactive,Local,30:21.1
SCM1262,PM Kisan Samman Nidhi,2000,Entrepreneurship,Karnataka,Active,Local,30:21.1
SCM1263,Ayushman Bharat,1995,Health,Rajasthan,Active,Local,30:21.0
SCM1264,Pradhan Mantri Awas Yojana,2001,,Bihar,Inactive,Pan-India,30:21.1
,Pradhan Mantri Awas Yojana,2016,Education,Telangana,Inactive,State-level,30:21.0
SCM1266,Ayushman Bharat,2014,Health,Gujarat,Inactive,Pan-India,30:21.0
SCM1267,Sarva Shiksha Abhiyan,1992,Housing,Rajasthan,Active,Pan-India,30:21.0
SCM1268,Jan Dhan Yojana,1992,Entrepreneurship,Madhya Pradesh,Inactive,Local,30:21.0
SCM1269,Ayushman Bharat,2009,Entrepreneurship,Tamil Nadu,Inactive,Local,30:21.1
SCM1270,Beti Bachao Beti Padhao,2017,,West Bengal,Revamped,State-level,30:21.1
,PM Kisan Samman Nidhi,2012,Housing,Tamil Nadu,Inactive,State-level,30:21.1
SCM1272,Sarva Shiksha Abhiyan,1992,Health,Maharashtra,Revamped,Pan-India,30:21.0
SCM1273,Stand Up India,2013,Health,Gujarat,Inactive,Pan-India,30:21.0
SCM1274,Mahatma Gandhi National Rural Employment Guarantee Act,1995,Employment,Rajasthan,Revamped,Pan-India,Open
SCM1275,Jan Dhan Yojana,2009,Technology,Uttar Pradesh,Revamped,Local,30:21.1
SCM1276,Mahatma Gandhi National Rural Employment Guarantee Act,2000,Technology,Gujarat,Active,Local,30:21.0
SCM1277,National Health Mission,2021,Employment,Uttar Pradesh,Inactive,Local,30:21.0
SCM1278,Beti Bachao Beti Padhao,2016,Education,Telangana,Inactive,Local,30:21.1
SCM1279,Pradhan Mantri Awas Yojana,2010,Manufacturing,West Bengal,Inactive,State-level,30:21.1
SCM1280,Swachh Bharat Abhiyan,2002,Employment,Maharashtra,Revamped,Pan-India,30:21.0
,Smart Cities Mission,2011,Entrepreneurship,Karnataka,Active,Pan-India,30:21.1
SCM1282,AMRUT,2024,Women Empowerment,Tamil Nadu,Merged,Pan-India,30:21.0
SCM1283,Digital India,2011,Housing,Tamil Nadu,Revamped,Pan-India,30:21.0
SCM1284,Jan Dhan Yojana,2017,Health,Uttar Pradesh,Merged,Local,30:21.1
SCM1285,Ayushman Bharat,2010,Manufacturing,Madhya Pradesh,Revamped,Pan-India,30:21.1
SCM1286,Sarva Shiksha Abhiyan,2007,Employment,Gujarat,Revamped,State-level,30:21.1
SCM1287,Saubhagya Yojana,2020,Technology,Bihar,Inactive,Pan-India,30:21.1
SCM1288,Digital India,2010,Manufacturing,Gujarat,Revamped,State-level,30:21.1
SCM1289,Startup India,2003,Housing,Karnataka,Revamped,Local,30:21.0
SCM1290,Saubhagya Yojana,2014,Women Empowerment,Uttar Pradesh,Active,State-level,30:21.1
SCM1291,Pradhan Mantri Awas Yojana,2016,Housing,Bihar,Inactive,State-level,30:21.0
SCM1292,Beti Bachao Beti Padhao,2012,Technology,Karnataka,Active,Local,30:21.0
SCM1293,PM Kisan Samman Nidhi,2020,Manufacturing,Gujarat,Merged,Local,30:21.0
SCM1294,AMRUT,2018,Manufacturing,Telangana,Inactive,State-level,30:21.1
SCM1295,PM Kisan Samman Nidhi,2019,Education,Uttar Pradesh,Active,Pan-India,30:21.0
SCM1296,Ujjwala Yojana,2015,Manufacturing,Rajasthan,Inactive,State-level,30:21.1
