Scheme_ID,Target_Age_Group,Target_Gender,Caste_Eligibility,Income_Criteria
SCM1050,26-40,Male,All,No Limit
SCM1051,60+,Female,OBC,Above 5L
SCM1052,18-25,Female,General,No Limit
SCM1053,26-40,All,SC,No Limit
SCM1054,60+,Male,ST,2L-5L
SCM1055,18-25,All,ST,No Limit
SCM1056,26-40,All,All,Above 5L
SCM1057,26-40,Female,SC,Below 2L
SCM1058,18-25,All,ST,Above 5L
SCM1059,60+,All,General,2L-5L
SCM1060,60+,All,OBC,No Limit
SCM1061,60+,All,ST,2L-5L
SCM1062,41-60,All,All,2L-5L
SCM1063,41-60,Female,All,2L-5L
SCM1064,26-40,Male,General,2L-5L
SCM1065,18-25,Female,SC,Above 5L
SCM1066,41-60,Male,General,Below 2L
SCM1067,60+,Male,SC,Above 5L
SCM1068,18-25,Male,ST,Above 5L
SCM1069,18-25,All,General,No Limit
SCM1070,60+,All,ST,No Limit
SCM1071,18-25,Female,SC,2L-5L
SCM1072,18-25,Male,ST,Below 2L
SCM1073,60+,All,ST,Above 5L
SCM1074,18-25,All,All,2L-5L
SCM1075,41-60,Male,OBC,Below 2L
SCM1076,26-40,Female,OBC,No Limit
SCM1077,18-25,All,SC,Below 2L
SCM1078,18-25,Female,OBC,Above 5L
SCM1079,26-40,All,SC,No Limit
SCM1080,41-60,Male,OBC,Below 2L
SCM1081,18-25,Female,ST,Above 5L
SCM1082,60+,Female,General,No Limit
SCM1083,41-60,Female,ST,Above 5L
,18-25,Male,ST,2L-5L
SCM1085,60+,Male,SC,2L-5L
SCM1086,60+,Male,General,Below 2L
SCM1087,18-25,All,SC,Above 5L
SCM1088,18-25,Male,SC,Below 2L
SCM1089,60+,Female,ST,2L-5L
SCM1090,60+,Female,OBC,Below 2L
SCM1091,41-60,All,OBC,Below 2L
SCM1092,26-40,Female,General,2L-5L
SCM1093,18-25,Male,All,2L-5L
SCM1094,18-25,All,All,Below 2L
SCM1095,41-60,All,ST,Above 5L
SCM1096,18-25,Female,ST,Above 5L
SCM1097,60+,All,General,Below 2L
SCM1098,60+,Male,All,Below 2L
SCM1099,18-25,Female,General,2L-5L
SCM1100,18-25,Female,SC,No Limit
SCM1101,26-40,Female,SC,Above 5L
SCM1102,41-60,All,SC,Above 5L
SCM1103,60+,Male,OBC,Below 2L
SCM1104,60+,All,General,2L-5L
SCM1105,26-40,Female,General,Above 5L
SCM1106,26-40,All,SC,No Limit
SCM1107,18-25,Female,General,2L-5L
SCM1108,26-40,Male,All,2L-5L
SCM1109,41-60,All,ST,Below 2L
SCM1110,18-25,Male,ST,No Limit
SCM1111,60+,All,General,Below 2L
SCM1112,18-25,Female,OBC,Above 5L
SCM1113,26-40,Male,All,No Limit
SCM1114,18-25,Male,All,2L-5L
SCM1115,26-40,Female,OBC,No Limit
SCM1116,18-25,Male,General,No Limit
SCM1117,60+,All,General,Above 5L
SCM1118,60+,Female,ST,Below 2L
SCM1119,60+,All,All,2L-5L
SCM1120,41-60,All,ST,No Limit
SCM1121,18-25,Female,All,No Limit
SCM1122,26-40,Female,All,Above 5L
,18-25,All,SC,No Limit
SCM1124,41-60,Female,General,2L-5L
SCM1125,18-25,Female,OBC,Above 5L
SCM1126,41-60,Male,OBC,Above 5L
SCM1127,60+,Female,All,2L-5L
SCM1128,18-25,Female,OBC,2L-5L
SCM1129,18-25,All,ST,2L-5L
SCM1130,41-60,All,All,No Limit
SCM1131,26-40,Female,SC,No Limit
SCM1132,60+,Female,OBC,Below 2L
SCM1133,60+,Male,General,Above 5L
SCM1134,41-60,All,All,Above 5L
SCM1135,26-40,Male,OBC,2L-5L
SCM1136,18-25,All,All,Below 2L
SCM1137,60+,Female,General,Below 2L
SCM1138,26-40,Male,OBC,Above 5L
SCM1139,60+,All,SC,Above 5L
SCM1140,60+,Female,SC,Above 5L
SCM1141,26-40,Male,OBC,Above 5L
SCM1142,60+,All,General,Above 5L
SCM1143,41-60,All,OBC,Below 2L
SCM1144,26-40,All,SC,Above 5L
SCM1145,18-25,Female,OBC,No Limit
SCM1146,60+,Male,All,No Limit
SCM1147,18-25,Female,ST,No Limit
SCM1148,18-25,Female,General,No Limit
SCM1149,18-25,All,All,No Limit
,26-40,Female,General,No Limit
SCM1151,26-40,Male,OBC,2L-5L
SCM1152,60+,All,General,2L-5L
SCM1153,26-40,All,ST,Above 5L
SCM1154,18-25,Male,SC,2L-5L
SCM1155,26-40,Male,All,Above 5L
SCM1156,60+,All,ST,Below 2L
SCM1157,26-40,Male,ST,Below 2L
SCM1158,41-60,Male,General,Above 5L
SCM1159,18-25,All,OBC,Below 2L
,18-25,Male,SC,Below 2L
SCM1161,18-25,Male,General,Below 2L
,18-25,All,General,Above 5L
SCM1163,26-40,Female,All,Below 2L
SCM1164,60+,Male,OBC,No Limit
SCM1165,60+,Female,General,Above 5L
,26-40,All,ST,No Limit
SCM1167,18-25,Female,ST,No Limit
SCM1168,41-60,Male,SC,No Limit
SCM1169,26-40,Male,SC,Above 5L
SCM1170,41-60,All,SC,Above 5L
SCM1171,18-25,All,General,Above 5L
SCM1172,60+,All,All,No Limit
SCM1173,18-25,Male,SC,No Limit
SCM1174,60+,Male,General,Above 5L
SCM1175,18-25,All,All,No Limit
SCM1176,60+,All,ST,Above 5L
SCM1177,18-25,All,OBC,No Limit
SCM1178,60+,All,All,No Limit
SCM1179,41-60,Female,General,No Limit
SCM1180,60+,All,General,No Limit
SCM1181,41-60,All,All,No Limit
SCM1182,26-40,Male,SC,No Limit
SCM1183,18-25,All,General,Above 5L
SCM1184,41-60,Female,SC,No Limit
SCM1185,18-25,Male,General,Above 5L
SCM1186,60+,Female,SC,Below 2L
,18-25,All,OBC,Above 5L
SCM1188,60+,All,SC,Below 2L
SCM1189,18-25,All,General,Above 5L
SCM1190,41-60,All,OBC,Above 5L
SCM1191,41-60,Male,SC,Above 5L
SCM1192,26-40,All,OBC,Below 2L
SCM1193,26-40,Male,All,Above 5L
SCM1194,41-60,Male,All,No Limit
SCM1195,26-40,Male,ST,2L-5L
SCM1196,26-40,Male,ST,Above 5L
SCM1197,26-40,All,OBC,2L-5L
,18-25,All,All,2L-5L
SCM1199,26-40,Female,General,Below 2L
SCM1200,41-60,Male,ST,Below 2L
SCM1201,18-25,All,All,2L-5L
SCM1202,26-40,Female,General,Above 5L
SCM1203,26-40,Male,General,No Limit
SCM1204,41-60,All,OBC,Above 5L
SCM1205,18-25,Female,SC,Below 2L
SCM1206,41-60,All,SC,No Limit
SCM1207,60+,All,General,2L-5L
SCM1208,60+,All,General,Above 5L
SCM1209,26-40,Male,OBC,Below 2L
SCM1210,60+,Male,ST,2L-5L
SCM1211,26-40,Male,SC,2L-5L
SCM1212,18-25,Male,All,2L-5L
SCM1213,60+,All,SC,2L-5L
SCM1214,60+,Female,SC,No Limit
SCM1215,41-60,Female,All,2L-5L
SCM1216,60+,Female,OBC,2L-5L
SCM1217,60+,Male,ST,Above 5L
SCM1218,60+,Female,All,No Limit
SCM1219,41-60,Female,General,Below 2L
SCM1220,60+,All,All,No Limit
SCM1221,60+,All,All,Below 2L
SCM1222,60+,Male,OBC,No Limit
SCM1223,18-25,All,General,No Limit
SCM1224,26-40,All,OBC,No Limit
SCM1225,18-25,Male,ST,Below 2L
SCM1226,60+,Male,OBC,2L-5L
SCM1227,26-40,All,OBC,Above 5L
SCM1228,60+,All,General,Above 5L
SCM1229,26-40,All,OBC,Below 2L
SCM1230,18-25,All,ST,Below 2L
SCM1231,26-40,All,SC,No Limit
SCM1232,26-40,Female,All,2L-5L
SCM1233,26-40,Male,SC,Above 5L
SCM1234,26-40,Female,All,2L-5L
SCM1235,18-25,Male,General,2L-5L
SCM1236,41-60,All,SC,Above 5L
SCM1237,60+,All,ST,Above 5L
SCM1238,26-40,Male,All,No Limit
SCM1239,26-40,Female,OBC,Above 5L
SCM1240,26-40,Female,ST,Below 2L
SCM1241,18-25,Female,ST,2L-5L
SCM1242,60+,Male,SC,Above 5L
SCM1243,18-25,Female,All,Below 2L
SCM1244,18-25,Male,SC,Above 5L
SCM1245,60+,Female,General,2L-5L
SCM1246,18-25,All,All,No Limit
SCM1247,60+,Male,OBC,Below 2L
SCM1248,41-60,Male,OBC,No Limit
SCM1249,60+,Male,OBC,No Limit
SCM1250,26-40,Male,General,Below 2L
SCM1251,26-40,Female,OBC,No Limit
,26-40,Male,General,Above 5L
SCM1253,41-60,Female,General,Below 2L
,60+,Male,General,2L-5L
SCM1255,41-60,All,General,Above 5L
SCM1256,18-25,Female,OBC,No Limit
SCM1257,60+,Male,All,No Limit
SCM1258,26-40,Female,ST,No Limit
SCM1259,26-40,Male,General,Below 2L
,60+,Male,General,Below 2L
SCM1261,18-25,Female,SC,No Limit
SCM1262,26-40,Male,ST,Above 5L
SCM1263,41-60,Male,ST,No Limit
SCM1264,26-40,Female,SC,2L-5L
,26-40,Male,General,Below 2L
SCM1266,18-25,Male,General,2L-5L
SCM1267,60+,Male,SC,Below 2L
SCM1268,60+,Male,SC,Below 2L
SCM1269,18-25,All,ST,Above 5L
SCM1270,26-40,Female,General,No Limit
,60+,All,SC,Below 2L
SCM1272,60+,Male,ST,2L-5L
SCM1273,26-40,All,SC,Below 2L
SCM1274,60+,Female,ST,Above 5L
SCM1275,41-60,Female,SC,Below 2L
SCM1276,60+,All,OBC,Below 2L
SCM1277,41-60,All,OBC,No Limit
SCM1278,26-40,All,ST,No Limit
SCM1279,26-40,Female,OBC,Below 2L
SCM1280,41-60,Female,OBC,Above 5L
,18-25,All,OBC,No Limit
SCM1282,41-60,All,All,2L-5L
SCM1283,26-40,All,SC,Above 5L
SCM1284,41-60,All,All,2L-5L
SCM1285,41-60,Female,OBC,2L-5L
SCM1286,26-40,Male,All,No Limit
SCM1287,41-60,All,OBC,2L-5L
SCM1288,26-40,All,OBC,Below 2L
SCM1289,41-60,Male,ST,Above 5L
SCM1290,18-25,Male,ST,Below 2L
SCM1291,60+,Male,SC,No Limit
SCM1292,60+,Female,OBC,Above 5L
SCM1293,60+,Male,SC,2L-5L
SCM1294,18-25,Female,SC,No Limit
SCM1295,60+,Female,All,Below 2L
SCM1296,26-40,Male,OBC,Above 5L
SCM1297,26-40,Female,OBC,Below 2L
SCM1298,60+,Male,All,No Limit
SCM1299,18-25,Male,All,Above 5L
SCM1300,60+,Female,General,Above 5L
SCM1301,41-60,Female,General,No Limit
SCM1302,26-40,All,SC,Above 5L
SCM1303,60+,All,General,2L-5L
SCM1304,26-40,Male,General,Above 5L
SCM1305,26-40,All,OBC,Above 5L
SCM1306,41-60,All,All,Above 5L
SCM1307,26-40,All,General,Above 5L
SCM1308,60+,Female,OBC,Above 5L
SCM1309,60+,Male,SC,Above 5L
SCM1310,18-25,Female,General,Below 2L
SCM1311,26-40,Female,OBC,2L-5L
SCM1312,26-40,Male,OBC,2L-5L
SCM1313,26-40,Female,OBC,Below 2L
SCM1314,26-40,Male,ST,Above 5L
SCM1315,18-25,All,OBC,Below 2L
SCM1316,26-40,Female,General,Above 5L
SCM1317,26-40,Female,All,No Limit
SCM1318,41-60,Male,All,2L-5L
SCM1319,41-60,Female,SC,Below 2L
SCM1320,60+,Male,General,No Limit
SCM1321,26-40,All,ST,2L-5L
SCM1322,18-25,Male,OBC,No Limit
SCM1323,41-60,Female,All,Below 2L
SCM1324,41-60,Male,General,Above 5L
SCM1325,26-40,Female,SC,No Limit
SCM1326,60+,Female,ST,No Limit
,26-40,Female,General,Above 5L
SCM1328,26-40,Male,OBC,Above 5L
SCM1329,26-40,Male,ST,No Limit
SCM1330,26-40,All,General,No Limit
SCM1331,18-25,Female,ST,Above 5L
SCM1332,26-40,All,ST,No Limit
SCM1333,18-25,Female,All,2L-5L
SCM1334,18-25,Female,All,Above 5L
SCM1335,41-60,Male,SC,Below 2L
SCM1336,26-40,All,ST,Above 5L
SCM1337,18-25,Female,SC,Above 5L
SCM1338,60+,Male,ST,Above 5L
SCM1339,26-40,Female,ST,Above 5L
SCM1340,18-25,Female,OBC,No Limit
,60+,Male,All,No Limit
SCM1342,18-25,Male,General,2L-5L
SCM1343,41-60,Male,General,2L-5L
SCM1344,41-60,Male,General,Below 2L
SCM1345,26-40,Male,All,Below 2L
SCM1346,18-25,Male,All,No Limit
SCM1347,60+,Female,All,Below 2L
SCM1348,41-60,Female,ST,Above 5L
SCM1349,26-40,Female,SC,No Limit
SCM1350,18-25,All,General,2L-5L
SCM1351,60+,Male,SC,Above 5L
SCM1352,18-25,Female,OBC,2L-5L
SCM1353,18-25,Male,All,2L-5L
SCM1354,26-40,All,SC,Below 2L
SCM1355,26-40,Male,ST,Above 5L
SCM1356,41-60,Female,SC,Above 5L
,60+,Female,SC,No Limit
SCM1358,18-25,Male,General,2L-5L
SCM1359,60+,Female,All,No Limit
SCM1360,26-40,Male,OBC,Below 2L
SCM1361,26-40,Male,General,Below 2L
SCM1362,41-60,Female,ST,Above 5L
SCM1363,18-25,Female,SC,Above 5L
SCM1364,18-25,Male,SC,2L-5L
SCM1365,26-40,Female,OBC,Above 5L
SCM1366,18-25,Female,OBC,2L-5L
SCM1367,18-25,Male,All,No Limit
SCM1368,41-60,Male,OBC,2L-5L
SCM1369,41-60,Male,OBC,2L-5L
SCM1370,60+,Male,General,2L-5L
SCM1371,41-60,All,All,Above 5L
SCM1372,41-60,All,OBC,2L-5L
SCM1373,26-40,Male,ST,No Limit
SCM1374,41-60,All,General,No Limit
SCM1375,18-25,All,OBC,Above 5L
SCM1376,18-25,Female,OBC,Above 5L
SCM1377,60+,All,OBC,2L-5L
SCM1378,26-40,Male,All,No Limit
SCM1379,60+,Male,SC,2L-5L
SCM1380,60+,Female,ST,Below 2L
SCM1381,18-25,Female,SC,Above 5L
SCM1382,60+,Female,ST,Above 5L
SCM1383,41-60,All,All,Below 2L
,60+,Male,ST,2L-5L
SCM1385,18-25,Female,OBC,2L-5L
SCM1386,60+,All,SC,Below 2L
SCM1387,26-40,Male,ST,Below 2L
SCM1388,26-40,Male,ST,Above 5L
SCM1389,41-60,Female,ST,Below 2L
SCM1390,26-40,Male,All,No Limit
SCM1391,60+,Male,SC,Below 2L
SCM1392,41-60,All,SC,Below 2L
SCM1393,60+,Male,All,2L-5L
SCM1394,41-60,Male,OBC,Below 2L
SCM1395,41-60,Male,ST,2L-5L
SCM1396,26-40,Female,All,2L-5L
SCM1397,41-60,All,SC,No Limit
SCM1398,18-25,All,OBC,2L-5L
SCM1399,41-60,Female,SC,Below 2L
SCM1400,41-60,Female,SC,2L-5L
SCM1401,26-40,Male,ST,Above 5L
SCM1402,18-25,Female,All,Above 5L
SCM1403,18-25,All,General,Above 5L
SCM1404,26-40,Female,SC,2L-5L
SCM1405,60+,All,ST,Above 5L
SCM1406,60+,All,All,Below 2L
SCM1407,60+,All,General,2L-5L
SCM1408,41-60,All,OBC,Below 2L
SCM1409,26-40,Male,OBC,Above 5L
SCM1410,18-25,Male,SC,2L-5L
SCM1411,41-60,Male,SC,No Limit
SCM1412,60+,All,ST,No Limit
SCM1413,26-40,All,General,Above 5L
SCM1414,26-40,All,SC,No Limit
SCM1415,41-60,All,SC,No Limit
SCM1416,41-60,Female,OBC,Below 2L
SCM1417,41-60,All,General,No Limit
SCM1418,18-25,Female,ST,2L-5L
SCM1419,18-25,Male,General,No Limit
SCM1420,18-25,Male,SC,Above 5L
SCM1421,26-40,Male,SC,No Limit
SCM1422,26-40,Male,SC,Above 5L
,60+,All,General,Below 2L
SCM1424,26-40,Female,SC,No Limit
SCM1425,26-40,Female,All,Above 5L
SCM1426,26-40,All,All,Above 5L
SCM1427,41-60,Female,SC,No Limit
SCM1428,18-25,Female,OBC,Below 2L
SCM1429,26-40,Male,General,No Limit
SCM1430,60+,All,ST,Above 5L
SCM1431,60+,All,General,No Limit
,26-40,Male,General,Below 2L
SCM1433,26-40,All,SC,Below 2L
SCM1434,41-60,All,All,Below 2L
SCM1435,26-40,Female,ST,Above 5L
SCM1436,26-40,All,General,2L-5L
SCM1437,18-25,Female,ST,No Limit
SCM1438,41-60,All,ST,Above 5L
SCM1439,18-25,All,OBC,Above 5L
SCM1440,26-40,Male,All,Below 2L
SCM1441,60+,Female,OBC,2L-5L
SCM1442,41-60,Male,All,No Limit
SCM1443,18-25,Male,SC,Above 5L
SCM1444,60+,All,SC,Above 5L
SCM1445,41-60,All,SC,Above 5L
SCM1446,60+,Male,ST,No Limit
SCM1447,18-25,Female,ST,2L-5L
SCM1448,60+,All,All,Above 5L
SCM1449,41-60,Female,General,2L-5L
SCM1450,60+,Male,All,2L-5L
SCM1451,60+,Female,OBC,Above 5L
SCM1452,41-60,All,OBC,No Limit
SCM1453,18-25,Male,OBC,Above 5L
SCM1454,41-60,All,OBC,No Limit
SCM1455,41-60,Male,ST,2L-5L
SCM1456,41-60,Male,OBC,No Limit
SCM1457,41-60,Male,ST,Below 2L
SCM1458,18-25,Male,General,Above 5L
SCM1459,60+,All,ST,No Limit
SCM1460,60+,All,ST,2L-5L
SCM1461,26-40,Female,ST,Above 5L
SCM1462,41-60,Female,All,Below 2L
SCM1463,60+,Female,OBC,Above 5L
SCM1464,18-25,All,General,Below 2L
SCM1465,26-40,Female,SC,No Limit
SCM1466,18-25,All,All,Above 5L
SCM1467,60+,Female,General,No Limit
SCM1468,26-40,All,OBC,No Limit
SCM1469,41-60,Female,All,Below 2L
SCM1470,18-25,All,SC,No Limit
SCM1471,41-60,Male,All,Below 2L
SCM1472,26-40,Male,OBC,2L-5L
SCM1473,41-60,Male,All,2L-5L
,41-60,All,SC,2L-5L
SCM1475,26-40,All,ST,Below 2L
SCM1476,60+,All,All,Below 2L
SCM1477,41-60,All,All,2L-5L
SCM1478,26-40,All,All,Above 5L
SCM1479,60+,Male,SC,2L-5L
SCM1480,41-60,Female,OBC,Below 2L
SCM1481,41-60,Male,SC,Above 5L
SCM1482,41-60,Female,General,No Limit
SCM1483,41-60,Male,General,Below 2L
SCM1484,26-40,Male,OBC,No Limit
SCM1485,41-60,Female,OBC,Above 5L
SCM1486,18-25,Male,ST,Above 5L
SCM1487,26-40,Female,OBC,Above 5L
,60+,Male,OBC,Below 2L
SCM1489,60+,Male,OBC,Below 2L
SCM1490,18-25,All,ST,No Limit
SCM1491,41-60,All,General,Below 2L
SCM1492,60+,Female,ST,Above 5L
SCM1493,26-40,Female,ST,2L-5L
SCM1494,18-25,Female,General,Above 5L
SCM1495,18-25,All,General,2L-5L
SCM1496,41-60,Female,General,Below 2L
SCM1497,60+,Male,General,2L-5L
SCM1498,41-60,Male,General,No Limit
SCM1499,26-40,All,ST,Below 2L
SCM1500,18-25,Female,All,Below 2L
SCM1501,60+,Female,SC,2L-5L
SCM1502,26-40,Male,ST,Above 5L
SCM1503,26-40,Male,SC,No Limit
SCM1504,26-40,All,All,Below 2L
SCM1505,18-25,Male,ST,Below 2L
SCM1506,26-40,Male,SC,2L-5L
SCM1507,18-25,Male,ST,Above 5L
SCM1508,26-40,All,OBC,2L-5L
SCM1509,26-40,Male,SC,No Limit
SCM1510,41-60,All,General,No Limit
SCM1511,18-25,Female,OBC,2L-5L
SCM1512,60+,All,ST,No Limit
SCM1513,26-40,All,All,Above 5L
SCM1514,26-40,All,OBC,Below 2L
SCM1515,41-60,Male,General,Below 2L
SCM1516,26-40,Female,General,No Limit
SCM1517,18-25,Female,General,Above 5L
,26-40,Female,SC,2L-5L
SCM1519,41-60,All,SC,Below 2L
SCM1520,26-40,All,SC,Below 2L
SCM1521,41-60,Male,SC,2L-5L
SCM1522,60+,Female,SC,Below 2L
SCM1523,18-25,Male,OBC,2L-5L
SCM1524,60+,All,ST,Above 5L
SCM1525,41-60,Male,SC,Above 5L
,26-40,Male,All,Above 5L
SCM1527,60+,Female,General,Above 5L
SCM1528,60+,Male,ST,No Limit
SCM1529,18-25,Female,OBC,Below 2L
SCM1530,18-25,Female,General,2L-5L
SCM1531,41-60,Female,SC,Above 5L
SCM1532,41-60,Male,All,Above 5L
SCM1533,18-25,Female,SC,Below 2L
SCM1534,41-60,All,All,Below 2L
SCM1535,18-25,Female,ST,No Limit
SCM1536,18-25,Female,All,No Limit
SCM1537,60+,All,SC,No Limit
SCM1538,26-40,Female,General,Above 5L
SCM1539,26-40,Male,OBC,2L-5L
SCM1540,26-40,Male,General,No Limit
SCM1541,26-40,All,SC,No Limit
SCM1542,60+,Male,OBC,Above 5L
SCM1543,41-60,Male,General,Above 5L
SCM1544,60+,Male,General,Below 2L
SCM1545,26-40,Male,ST,2L-5L
SCM1546,26-40,Male,SC,2L-5L
SCM1547,26-40,Female,ST,2L-5L
SCM1548,18-25,All,SC,2L-5L
,41-60,Male,SC,Below 2L
SCM1550,18-25,Male,SC,Below 2L
SCM1551,60+,Male,All,No Limit
SCM1552,26-40,Female,General,Above 5L
SCM1553,18-25,All,OBC,2L-5L
,18-25,Female,SC,Above 5L
SCM1555,60+,All,OBC,No Limit
SCM1556,41-60,Male,All,Above 5L
SCM1557,60+,Female,General,No Limit
,18-25,All,SC,2L-5L
SCM1559,26-40,Male,General,2L-5L
SCM1560,26-40,Female,All,Above 5L
SCM1561,60+,Male,General,No Limit
SCM1562,41-60,Male,All,2L-5L
SCM1563,41-60,All,All,2L-5L
SCM1564,18-25,Female,ST,Above 5L
,60+,Male,OBC,Above 5L
SCM1566,60+,Male,SC,2L-5L
SCM1567,26-40,Female,OBC,No Limit
,60+,All,ST,No Limit
SCM1569,60+,All,All,No Limit
SCM1570,26-40,All,General,Below 2L
SCM1571,26-40,Male,ST,No Limit
SCM1572,60+,Female,ST,2L-5L
,60+,All,ST,Above 5L
SCM1574,18-25,Male,ST,2L-5L
SCM1575,60+,Female,All,Above 5L
SCM1576,18-25,Male,OBC,2L-5L
SCM1577,60+,All,All,Above 5L
,18-25,All,SC,Above 5L
SCM1579,26-40,All,SC,Above 5L
SCM1580,60+,All,General,Above 5L
SCM1581,41-60,All,All,Below 2L
SCM1582,41-60,Male,ST,Below 2L
SCM1583,41-60,Male,SC,No Limit
SCM1584,60+,All,General,2L-5L
SCM1585,26-40,Male,OBC,No Limit
SCM1586,60+,All,ST,2L-5L
SCM1587,41-60,Female,All,Below 2L
SCM1588,60+,Female,SC,2L-5L
SCM1589,26-40,All,SC,Above 5L
SCM1590,18-25,Female,General,Above 5L
SCM1591,26-40,Female,SC,Above 5L
SCM1592,60+,Female,General,Above 5L
SCM1593,18-25,Male,SC,2L-5L
SCM1594,60+,Male,OBC,Above 5L
SCM1595,60+,Female,ST,No Limit
SCM1596,60+,Male,All,Above 5L
SCM1597,18-25,All,ST,Below 2L
SCM1598,60+,Female,ST,2L-5L
SCM1599,60+,Male,SC,Above 5L
SCM1600,18-25,Female,All,2L-5L
SCM1601,26-40,Male,All,2L-5L
SCM1602,18-25,Female,OBC,No Limit
SCM1603,26-40,Male,General,No Limit
SCM1604,60+,All,All,2L-5L
SCM1605,18-25,Male,ST,Below 2L
SCM1606,41-60,Female,OBC,2L-5L
SCM1607,41-60,All,SC,Above 5L
SCM1608,60+,Male,ST,Below 2L
SCM1609,41-60,Female,OBC,2L-5L
,26-40,All,ST,Below 2L
SCM1611,18-25,Male,SC,Above 5L
SCM1612,26-40,All,All,2L-5L
SCM1613,41-60,All,ST,Above 5L
SCM1614,60+,All,All,Below 2L
SCM1615,26-40,Female,SC,No Limit
SCM1616,18-25,Female,OBC,Below 2L
SCM1617,41-60,Female,All,2L-5L
,41-60,Male,SC,Below 2L
,60+,All,ST,Below 2L
SCM1620,18-25,Male,SC,2L-5L
SCM1621,18-25,Female,ST,2L-5L
SCM1622,41-60,All,All,2L-5L
SCM1623,26-40,Female,All,Below 2L
SCM1624,26-40,All,ST,2L-5L
SCM1625,26-40,All,General,Above 5L
SCM1626,60+,Male,ST,No Limit
SCM1627,41-60,Female,All,Above 5L
SCM1628,18-25,Male,OBC,Below 2L
SCM1629,18-25,All,ST,2L-5L
SCM1630,60+,Male,All,Below 2L
SCM1631,18-25,Male,SC,Above 5L
SCM1632,18-25,Female,General,Above 5L
SCM1633,18-25,Female,OBC,Below 2L
SCM1634,26-40,Male,ST,2L-5L
SCM1635,60+,Male,ST,2L-5L
SCM1636,41-60,Female,SC,2L-5L
,26-40,Male,SC,Below 2L
SCM1638,60+,Male,All,Below 2L
SCM1639,60+,All,ST,Below 2L
SCM1640,60+,Female,SC,2L-5L
SCM1641,41-60,Female,SC,No Limit
SCM1642,26-40,All,All,2L-5L
SCM1643,18-25,Male,All,2L-5L
SCM1644,60+,All,OBC,No Limit
SCM1645,18-25,Male,SC,Above 5L
SCM1646,41-60,Female,General,Above 5L
SCM1647,18-25,Female,SC,Above 5L
SCM1648,60+,Male,ST,No Limit
SCM1649,41-60,All,OBC,No Limit
SCM1650,26-40,Female,All,2L-5L
SCM1651,60+,All,All,2L-5L
SCM1652,41-60,Female,OBC,No Limit
SCM1653,26-40,Female,General,No Limit
SCM1654,26-40,All,All,Below 2L
SCM1655,60+,Female,All,2L-5L
SCM1656,18-25,Male,General,Above 5L
SCM1657,26-40,All,OBC,No Limit
SCM1658,26-40,Female,General,2L-5L
SCM1659,18-25,Male,ST,Above 5L
SCM1660,60+,All,SC,No Limit
SCM1661,41-60,Female,SC,2L-5L
SCM1662,26-40,Female,OBC,Below 2L
SCM1663,26-40,Male,General,Above 5L
SCM1664,60+,Male,SC,2L-5L
SCM1665,60+,Male,General,Below 2L
SCM1666,18-25,Female,OBC,2L-5L
SCM1667,18-25,Male,All,Above 5L
SCM1668,41-60,All,General,No Limit
SCM1669,26-40,Female,General,No Limit
SCM1670,60+,Male,SC,2L-5L
SCM1671,60+,Male,All,2L-5L
SCM1672,26-40,Female,ST,Below 2L
