Scheme_ID,Feedback_Rating,Approval_Rate,Implementation_Score,Success_Rate,Application_Mode,Required_Documents,Scheme_Objective
SCM1167,3,71.4,5.06,47.02,Offline,"Aadhaar, Income Certificate",Employment generation
SCM1168,3,79.06,5.51,99.76,Both,"Aadhaar, Income Certificate",Startup support
SCM1169,3,73.51,1.5,52.76,Both,None,Technology adoption
SCM1170,1,69.19,1.74,77.02,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM1171,2,56.64,2.13,89.14,Offline,None,Education access
SCM1172,3,58.36,1.36,42.26,Online,"Aadhaar, Income Certificate",Women empowerment
SCM1173,1,64.41,9.8,72.63,Both,"Caste Certificate, Income Certificate",Housing for all
SCM1174,1,68.26,3.14,56.26,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1175,3,62.58,8.92,47.1,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM1176,1,78.87,8.06,30.82,Online,"Aadhaar, Income Certificate",Housing for all
SCM1177,3,79.91,7.35,91.04,Both,"Aadhaar, Income Certificate",Technology adoption
SCM1178,2,52.29,6.92,39.51,Online,"Caste Certificate, Income Certificate",Housing for all
SCM1179,4,82.48,5.49,91.47,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM1180,2,73.38,6.07,72.05,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1181,3,77.35,9.02,73.47,Both,"Ration Card, Aadhaar",Employment generation
SCM1182,4,94.66,8,88.01,Offline,"Ration Card, Aadhaar",Employment generation
SCM1183,3,59.17,3.08,65.66,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1184,4,70.22,1.94,55.01,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1185,3,74.26,3.64,39.72,Both,"Aadhaar, Income Certificate",Startup support
SCM1186,1,79.54,2.19,69.93,Both,"Aadhaar, Income Certificate",Financial inclusion
,3,83.88,9.59,68.72,Both,"Aadhaar, Income Certificate",Skill development
SCM1188,1,56.46,4.44,50.57,Offline,None,Education access
SCM1189,4,87.45,2.56,72,Both,None,Employment generation
SCM1190,3,61.05,6.6,60.76,Both,"Aadhaar, Income Certificate",Startup support
SCM1191,2,97.56,4.58,86.39,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1192,2,55.28,2.96,69.16,Both,"Ration Card, Aadhaar",Startup support
SCM1193,4,99.34,1.52,95.36,Online,"Ration Card, Aadhaar",Housing for all
SCM1194,3,96.4,1.83,66.26,Both,None,Housing for all
SCM1195,1,94.46,6.07,92.12,Online,"Aadhaar, Income Certificate",Education access
SCM1196,2,51.52,7.75,66.44,Both,"Aadhaar, Income Certificate",Women empowerment
SCM1197,1,60.07,9.33,69.06,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
,4,78.39,6.27,55.68,Both,"Caste Certificate, Income Certificate",Housing for all
SCM1199,4,86.06,6.87,58.01,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1200,4,86.74,3.18,95.32,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM1201,4,52.31,3.47,45.63,Online,"Caste Certificate, Income Certificate",Skill development
SCM1202,3,84.44,4.76,38.5,Online,None,Housing for all
SCM1203,1,74.82,8.82,88.11,Online,"Caste Certificate, Income Certificate",Skill development
SCM1204,4,65.68,4.92,70.38,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM1205,2,84.48,3.16,49.93,Online,"Aadhaar, Income Certificate",Employment generation
SCM1206,2,62.54,9.28,60.27,Both,"Ration Card, Aadhaar",Financial inclusion
SCM1207,1,82.25,4.7,66.74,Offline,None,Housing for all
SCM1208,4,80.61,1.72,71.45,Online,"Caste Certificate, Income Certificate",Startup support
SCM1209,1,79.56,5.91,87.47,Both,"Caste Certificate, Income Certificate",Education access
SCM1210,3,76.64,6.64,57.6,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM1211,2,63.63,9.6,77.36,Offline,"Ration Card, Aadhaar",Employment generation
SCM1212,3,60.05,8.26,88.43,Offline,"Ration Card, Aadhaar",Startup support
SCM1213,3,69.16,1.91,89.06,Offline,"Ration Card, Aadhaar",Technology adoption
SCM1214,3,98.54,5.61,47.8,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1215,2,89.38,4.91,54.51,Both,"Ration Card, Aadhaar",Education access
SCM1216,1,69.22,4.54,71.64,Online,"Ration Card, Aadhaar",Education access
SCM1217,2,84.18,2.26,92,Offline,None,Health insurance coverage
SCM1218,2,64.04,4.38,85.33,Online,"Caste Certificate, Income Certificate",Skill development
SCM1219,4,60.73,5.23,70.88,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM1220,1,79.17,2.97,98.86,Online,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM1221,3,62.81,6.18,60.73,Both,"Aadhaar, Income Certificate",Financial inclusion
SCM1222,4,77.32,2.99,88.97,Online,"Ration Card, Aadhaar",Skill development
SCM1223,2,54.01,2.09,87.29,Both,"Caste Certificate, Income Certificate",Education access
SCM1224,2,91.75,9.86,93.56,Offline,"Ration Card, Aadhaar",Education access
SCM1225,1,69.1,7.2,99.14,Both,"Aadhaar, Income Certificate",Women empowerment
SCM1226,3,50.78,6.35,64.7,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1227,2,97.91,3.95,43.69,Both,"Ration Card, Aadhaar",Housing for all
SCM1228,3,77.27,2.88,62.26,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1229,2,95.79,2.18,89.77,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM1230,4,59.4,1.56,88.53,Both,"Aadhaar, Income Certificate",Technology adoption
SCM1231,1,65.01,7.3,53.52,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1232,2,69.16,3.49,,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM1233,2,59.77,3.86,65.69,Both,"Aadhaar, Income Certificate",Housing for all
SCM1234,4,72.7,2.45,63.19,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM1235,4,64.07,2.05,36,Both,None,Women empowerment
SCM1236,3,56.27,5.45,85.64,Both,"Aadhaar, PAN, Bank Passbook",Startup support
SCM1237,3,54.07,7.55,49.85,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM1238,2,62.9,9.92,75.2,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM1239,4,99.06,4.06,37.1,Both,"Caste Certificate, Income Certificate",Skill development
SCM1240,3,62.81,6.97,90.25,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1241,1,92.77,2.04,81.75,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1242,2,72.95,6,,Online,"Ration Card, Aadhaar",Women empowerment
SCM1243,2,62.62,5.66,74.06,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM1244,4,91.14,1.29,43.12,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM1245,2,87.75,5.35,98.98,Offline,"Ration Card, Aadhaar",Employment generation
SCM1246,2,80.87,5.46,85.73,Both,"Aadhaar, Income Certificate",Health insurance coverage
SCM1247,3,64.33,4.35,85.23,Both,"Caste Certificate, Income Certificate",Education access
SCM1248,1,88.11,6.16,40.74,Offline,None,Startup support
SCM1249,4,50.97,1.41,31.24,Online,"Ration Card, Aadhaar",Employment generation
SCM1250,2,63.99,8.6,70.98,Online,"Ration Card, Aadhaar",Financial inclusion
SCM1251,2,93.09,5.68,40.09,Offline,"Ration Card, Aadhaar",Sanitation awareness
,4,61.7,1.29,84.63,Both,"Aadhaar, Income Certificate",Startup support
SCM1253,3,81.48,9.85,,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
,3,73.96,4.44,,Offline,None,Technology adoption
SCM1255,3,71.45,9.88,35.16,Online,"Ration Card, Aadhaar",Education access
SCM1256,2,84.31,2.62,99.72,Both,"Ration Card, Aadhaar",Employment generation
SCM1257,3,51.91,1.27,96.92,Online,"Ration Card, Aadhaar",Skill development
SCM1258,4,74.89,7.42,39.21,Both,"Ration Card, Aadhaar",Startup support
SCM1259,2,72,9.51,53.3,Both,"Caste Certificate, Income Certificate",Women empowerment
,4,87.54,1.7,57.36,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM1261,3,71.32,7.62,50.78,Both,"Aadhaar, PAN, Bank Passbook",Education access
SCM1262,3,95.24,1.62,95.41,Both,None,Technology adoption
SCM1263,1,99.63,8.15,80.49,Online,"Ration Card, Aadhaar",Housing for all
SCM1264,3,93.79,6.23,96.91,Online,"Caste Certificate, Income Certificate",Skill development
,2,89.81,8.04,91.22,Online,"Caste Certificate, Income Certificate",Housing for all
SCM1266,4,85.85,4.34,82.82,Online,"Ration Card, Aadhaar",Employment generation
SCM1267,1,78.04,9.15,78.79,Offline,"Ration Card, Aadhaar",Women empowerment
SCM1268,1,89.34,3.72,90.63,Both,None,Health insurance coverage
SCM1269,3,80.14,3.55,77.89,Both,None,Women empowerment
SCM1270,3,98.1,9.65,43.21,Offline,"Ration Card, Aadhaar",Skill development
,4,94.47,2.11,75.37,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1272,1,78.82,6.33,,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM1273,1,71.25,6.17,98.73,Online,"Aadhaar, Income Certificate",Housing for all
SCM1274,4,59.85,3.13,65.7,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM1275,3,62.24,3.85,32.69,Online,None,Health insurance coverage
SCM1276,1,60.94,3.58,-10,Both,"Aadhaar, Income Certificate",Education access
SCM1277,4,94.58,8.61,94.22,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM1278,2,95.84,4.51,97.36,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM1279,1,66.01,4.23,80.99,Both,None,Sanitation awareness
SCM1280,3,85.1,6.73,33.98,Offline,"Aadhaar, Income Certificate",Women empowerment
,4,56.23,5.46,,Offline,"Aadhaar, Income Certificate",Education access
SCM1282,2,78.07,4.83,63.57,Online,"Ration Card, Aadhaar",Employment generation
SCM1283,2,64.97,7.38,99.98,Both,None,Financial inclusion
SCM1284,3,97.53,4.71,90.85,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1285,4,56.8,3,95.32,Both,"Aadhaar, Income Certificate",Skill development
SCM1286,1,56.75,7.68,73.65,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM1287,3,88.56,1.61,90.14,Both,"Aadhaar, Income Certificate",Financial inclusion
SCM1288,2,65.6,10,52.38,Offline,"Aadhaar, Income Certificate",Startup support
SCM1289,1,62.76,6.37,31.92,Both,"Aadhaar, Income Certificate",Health insurance coverage
SCM1290,2,60.48,2.95,94.28,Offline,None,Skill development
SCM1291,4,62.65,2.78,45.29,Offline,None,Women empowerment
SCM1292,1,99.46,3.46,80.99,Online,None,Technology adoption
SCM1293,3,72.69,8.91,76.13,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM1294,2,62.51,8.44,41.07,Online,None,Health insurance coverage
SCM1295,3,53.16,2.3,43.7,Online,"Aadhaar, Income Certificate",Startup support
SCM1296,2,56.06,6.4,53.04,Both,"Aadhaar, Income Certificate",Employment generation
SCM1297,1,82.84,9.2,82.99,Online,"Aadhaar, Income Certificate",Housing for all
SCM1298,3,63.02,7.6,32.75,Both,None,Sanitation awareness
SCM1299,3,77.79,6.29,58.49,Offline,"Aadhaar, Income Certificate",Employment generation
SCM1300,2,77.64,2.88,76.56,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM1301,4,68.1,9.49,42,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM1302,4,85.67,9.03,38.36,Both,None,Skill development
SCM1303,3,51.66,3.89,57.31,Offline,"Ration Card, Aadhaar",Education access
SCM1304,4,70.85,5.48,50.06,Online,"Ration Card, Aadhaar",Women empowerment
SCM1305,3,71.71,1.74,75.44,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1306,1,56.23,6.68,97.87,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1307,4,50.76,1.49,30.31,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM1308,3,76.71,9.15,,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM1309,3,64.73,8.92,60.33,Online,"Aadhaar, Income Certificate",Education access
SCM1310,1,96.61,3.53,76.48,Offline,"Ration Card, Aadhaar",Education access
SCM1311,2,85.28,7.68,89.57,Offline,"Ration Card, Aadhaar",Education access
SCM1312,1,54.41,4.95,70.14,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1313,2,82.77,8.61,36.81,Online,"Aadhaar, Income Certificate",Housing for all
SCM1314,3,93.76,1.55,39.84,Online,"Caste Certificate, Income Certificate",Education access
SCM1315,1,97.84,5.55,85.25,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM1316,2,65.63,4.58,46.04,Both,None,Skill development
SCM1317,1,71.9,3.34,69.83,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM1318,4,82.26,2.88,59.97,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM1319,4,95.47,7.09,51.25,Online,"Caste Certificate, Income Certificate",Financial inclusion
